subID,trial,responseTime,trueTime,ansTime,condition,index
31,12,2016-05,2015-01,2016-01,Possible Past,12
31,13,2016-05,2018-02,NA,Possible Future,
31,14,2016-05,2016-06,2016-06,Possible Future,0
31,15,2016-05,2016-07,2016-06,Possible Future,-1
31,16,2016-05,2016-11,2017-02,Possible Future,3
31,17,2016-05,2017-04,2017-04,Possible Future,0
31,18,2016-05,2017-08,2017-07,Possible Future,-1
32,1,2016-05,2013-08,2013-08,Memory,0
32,2,2016-05,2016-03,2016-04,Memory,1
32,3,2016-05,2012-02,2012-02,Memory,0
32,4,2016-05,2014-03,2014-03,Memory,0
32,5,2016-05,2013-09,2013-11,Memory,2
32,6,2016-05,2012-12,2012-12,Memory,0
32,7,2016-05,2016-02,2016-02,Memory,0
32,8,2016-05,2015-03,2015-03,Possible Past,0
32,9,2016-05,2014-04,2014-04,Possible Past,0
32,10,2016-05,2012-03,2012-02,Possible Past,-1
32,11,2016-05,2010-08,2010-08,Possible Past,0
32,12,2016-05,2012-06,2010-06,Possible Past,-24
32,13,2016-05,2017-07,2017-09,Possible Future,2
32,14,2016-05,2016-08,2016-08,Possible Future,0
32,15,2016-05,2016-12,2016-12,Possible Future,0
32,16,2016-05,2016-10,2016-10,Possible Future,0
32,17,2016-05,2016-11,2016-10,Possible Future,-1
32,18,2016-05,2021-03,2022-05,Possible Future,14
